"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-01",,"76","62","70"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-02",,"77","64","74"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-03",,"76","68","72"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-04",,"72","38","38"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-05",,"42","34","41"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-06",,"55","36","49"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-07",,"52","30","49"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-08",,"62","35","58"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-09",,"78","52","73"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-10",,"78","60","62"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-11",,"77","59","71"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-12",,"77","66","73"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-13",,"78","68","74"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-14",,"74","58","68"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-15",,"78","64","71"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-16",,"80","66","71"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-17",,"78","60","75"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-18",,"80","61","74"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-19",,"77","57","57"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-20",,"60","48","59"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-21",,"70","53","66"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-22",,"79","57","71"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-23",,"77","62","73"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-24",,"80","67","75"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-25",,"79","69","75"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-26",,"81","58","58"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-27",,"58","41","48"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-28",,"76","46","70"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-29",,"79","67","74"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-30",,"79","66","74"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-01-31",,"80","56","75"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-01",,"75","53","72"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-02",,"72","57","57"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-03",,"57","50","55"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-04",,"63","49","63"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-05",,"75","55","69"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-06",,"80","57","75"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-07",,"81","58","76"
"USC00410257","ANGLETON 2 W, TX US","29.1573","-95.4593","8.2","1950-02-08",,"80","60","76"
